canonical_smiles,pchembl_value
CC(C)(C)OC(=O)NCCCNc1nc(N)n2nc(-c3ccco3)nc2n1,6.46
CC(C)(C)OC(=O)NCCNc1nc(N)n2nc(-c3ccco3)nc2n1,5.43
CC(C)(C)c1cc(C(=O)NCCCCCCNc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc(C(C)(C)C)c1O,7.4
CC(C)(C)c1cc(C(=O)NCCc2ccc(Nc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2)cc(C(C)(C)C)c1O,7.5
CC(C)(C)c1cc(CCNc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc(C(C)(C)C)c1O,6.82
CC(C)(C)c1ccc(O[C@@H]2CCC[C@H]2Nc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1,6.44
CC(C)(C)c1nc(-c2nccs2)c2sccc2n1,6.62
CC(C)(C)c1nc2c(-c3ccccc3)cc(-c3ccccc3)nc2[nH]1,8.26
CC(C)(C)n1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,6.76
CC(C)(C)n1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,5.99
CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3ccccn3)c(CCc3ccccc3)c2c1)c1ccccc1,5.86
CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3cccnc3)c(CCc3ccccc3)c2c1)c1ccccc1,6.3
CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3ccncc3)c(CCc3ccccc3)c2c1)c1ccccc1,6.42
CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCC(F)(F)F)c2c1)c1ccccc1,5.95
CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccc(F)cc3)c2c1)c1ccccc1,5.94
CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1)c1ccccc1,7.72
CC(C)(NC(=O)NCc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1)c1ccccc1,7.17
CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1,5.89
CC(C)(OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)c1ccccc1,7.55
CC(C)/N=C(\S)OC[C@H]1OC(n2cnc3c(NC4CCOC4)ncnc32)[C@H](O)[C@@H]1O,7.44
CC(C)=CCn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,8.27
CC(C)C(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,7.96
CC(C)C(=O)Nc1cnc(-c2ccncc2)c(-c2ccco2)n1,7.75
CC(C)C(=O)Nc1nc(-c2ccccc2)c(C#N)c(-c2ccccc2)n1,8.54
CC(C)C(=O)Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1,8.05
CC(C)C(=O)Nc1ncc2c(n1)CC(c1cccs1)CC2=O,8.68
CC(C)CC(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,7.83
CC(C)CC(=O)Nc1nc(-c2ccccc2)c(-c2ncon2)s1,7.11
CC(C)CC(=O)Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1,7.6
CC(C)CCc1c(-c2nccs2)c(=O)[nH]c2ccc(OCC(=O)NC(C)(C)c3ccccc3)cc12,5.22
CC(C)CCn1cc2c(nc(NC(=O)C(c3ccccc3)c3ccccc3)n3nc(-c4ccco4)nc23)n1,6.36
CC(C)CCn1cc2c(nc(NC(=O)COc3ccccc3)n3nc(-c4ccco4)nc23)n1,7.26
CC(C)CCn1cc2c(nc(NC(=O)Cc3c(Cl)cccc3Cl)n3nc(-c4ccco4)nc23)n1,6.92
CC(C)CCn1cc2c(nc(NC(=O)Cc3ccc(C(F)(F)F)cc3)n3nc(-c4ccco4)nc23)n1,7.32
CC(C)CCn1cc2c(nc(NC(=O)Cc3ccc(Cl)cc3)n3nc(-c4ccco4)nc23)n1,7.65
CC(C)CCn1cc2c(nc(NC(=O)Cc3ccc(F)cc3)n3nc(-c4ccco4)nc23)n1,7.29
CC(C)CCn1cc2c(nc(NC(=O)Cc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,7.86
CC(C)CCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,6.7
CC(C)CCn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,7.0
CC(C)CNC(=O)c1cn2c(nc3ccccc32)c(N)n1,7.07
CC(C)C[C@H](CO)Nc1nc(S[C@@H](C)c2ccccc2)nc2nc(N)sc12,6.88
CC(C)Cc1nc2c(-c3ccccc3)cc(-c3ccccc3)nc2[nH]1,9.26
CC(C)Cn1c(=O)c2[nH]c(-c3cn[nH]c3)nc2n(C)c1=O,6.42
CC(C)Cn1c(=O)c2[nH]c(-c3cnn(Cc4cccc(C(F)(F)F)c4)c3)nc2n(C)c1=O,6.21
CC(C)Cn1c(=O)c2[nH]c(-c3cnn(Cc4cccc(F)c4)c3)nc2n(C)c1=O,6.45
CC(C)Cn1c(=O)c2c(nc3[nH]c(-c4ccccc4)cn32)n(CC(C)C)c1=O,6.32
CC(C)Cn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,7.55
CC(C)Cn1c(=O)c2nc(-c3cc(OCC(=O)Nc4ccc(Br)cc4)n(C)n3)[nH]c2n(CC(C)C)c1=O,7.31
CC(C)Cn1c(=O)c2nc(-c3cc(OCC(=O)Nc4ccc(Br)cc4)nn3C)[nH]c2n(CC(C)C)c1=O,5.62
CC(C)Cn1c(=O)c2nc(-c3cc(OCC(=O)Nc4ccc(F)cc4)n(C)n3)[nH]c2n(CC(C)C)c1=O,7.14
CC(C)Cn1c(=O)c2nc(-c3cc(OCC(=O)Nc4ccc(F)cc4)nn3C)[nH]c2n(CC(C)C)c1=O,6.33
CC(C)Cn1c(=O)c2nc(-c3cnn(Cc4ccccc4)c3)[nH]c2n(CC(C)C)c1=O,6.21
CC(C)Cn1c(Br)nc2c(N)ncnc21,5.31
CC(C)N(C)c1nc2c(NC3CC4CC3CC4O)ncnc2n1C,8.77
CC(C)N1CC(C(=O)Nc2nc3ccccc3[nH]2)CC1=O,8.59
CC(C)N1CCC(NC(=O)c2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1,6.92
CC(C)N1CCN(C(=O)c2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1,7.08
CC(C)NC(=O)N1CCC(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)CC1,5.88
