canonical_smiles,pchembl_value
C=C1C[C@@H](c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2cc(OC)c(OC)cc2-n2nccn2)C1,7.57
C=C1C[C@@H](c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2ccc(C)cc2-n2nccn2)C1,7.92
C=C1C[C@@H](c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2nc(C)ccc2-n2cccn2)C1,7.33
C=C1C[C@@H](c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2nc(C)ccc2-n2nccn2)C1,8.0
C=C1C[C@@H](c2nc3cc(Cl)c(C)cc3[nH]2)N(C(=O)c2cc(C)ccc2-n2nccn2)C1,7.47
C=C1C[C@@H](c2nc3cc(Cl)c(C)cc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,8.3
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2c(F)cccc2-n2nccn2)C1,5.82
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2cc(C)ccc2-n2nccn2)C1,6.5
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,7.82
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2cc(F)ccc2-n2nccn2)C1,5.82
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2ccccc2-c2cccc(C)c2)C1,7.06
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2ccccc2-c2csc(C)n2)C1,5.71
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2ccccc2-c2nc(C)no2)C1,5.76
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2ccccc2-n2nccn2)C1,6.81
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2ccsc2-c2cccc(C)c2)C1,6.57
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2cnc(C)nc2-c2ccccc2)C1,6.51
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2cc(F)cc(F)c2)C1,6.38
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(Br)cc2)C1,6.39
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,7.835
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(Cl)cc2)C1,6.67
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(F)c(Br)c2)C1,7.28
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(OC)cc2)C1,6.65
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2cccc(C(F)(F)F)c2)C1,6.69
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2cccc(Cl)c2)C1,7.68
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2cccc(F)c2)C1,6.67
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccccc2)C1,6.61
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccccc2Cl)C1,6.4
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2ccc(C)c(F)c2)C1,6.81
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2ccc(C)cc2)C1,6.84
